iter	Passed	Remaining
0	0	44
1	0	41
2	1	41
3	1	38
4	1	37
5	2	37
6	2	36
7	3	36
8	3	36
9	4	36
10	4	35
11	4	36
12	5	35
13	5	35
14	6	34
15	6	34
16	7	34
17	7	33
18	7	33
19	8	32
20	8	32
21	8	31
22	9	31
23	9	30
24	10	30
25	10	29
26	10	29
27	11	28
28	11	28
29	12	28
30	12	27
31	12	27
32	13	27
33	13	26
34	14	26
35	14	25
36	14	25
37	15	25
38	15	24
39	16	24
40	16	23
41	16	23
42	17	22
43	17	22
44	17	21
45	18	21
46	18	21
47	19	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	17
57	23	16
58	23	16
59	23	15
60	24	15
61	24	15
62	25	14
63	25	14
64	25	13
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	29	9
75	30	9
76	30	9
77	31	8
78	31	8
79	31	7
80	32	7
81	32	7
82	32	6
83	33	6
84	33	5
85	33	5
86	34	5
87	34	4
88	35	4
89	35	3
90	35	3
91	36	3
92	36	2
93	37	2
94	37	1
95	37	1
96	38	1
97	38	0
98	39	0
99	39	0
